   pumpkin              n.南瓜，南瓜藤
   fence                n.击剑(术) vi.击剑
   uphold               vt.举起；支撑；赞成
   lunar                a.月亮的
   fuss                 n.忙乱；吹捧 vi.忙乱
   dissipate            vt.驱散；浪费vi.消散
   insert               vi.(肌肉)附着
   baffle               vt.使挫折 n.迷惑
   limb                 n.分支，突出物
   composite            a.合成的 n.合成物
   shuttle              n.(织机的)梭
   availability         n.有效(性)；可得性
   suitcase             n.小提箱，衣箱
   multiplication       n.增加；繁殖；乘法
   composer             n.作曲家；调停人
   maid                 n.少女；处女
   theme                n.题目；词干；主旋律
   tack                 n.平头打 vt.钉住
   workpiece            n.工(作)件
   finance              vt.提供资金
   seaport              n.海港，港口，港市
   hearty               a.衷心的；丰盛的
   dissatisfaction      n.不满，不平
   tile                 n.瓦片，瓷砖；贴砖
   sniff                vi.用鼻子吸 vt.嗅
   miser                n.守财奴，吝啬鬼
   hip                  n.臀部，髋；屋脊
   riot                 n.&vi.骚乱，暴乱
   splash               vt.溅泼 vi.泼水 n.溅
   burglar              n.夜盗，窃贼
   frequent             a.常见的；频繁的
   budget               n.预算，预算案
   velocity             n.迅速，快速
   yolk                 n.蛋黄，卵黄
   breed                n.(动物)品种
